"Fecha","Hora","DAM","RTM"
2026-08-10,1,25.33,27.85
2026-08-10,2,23.74,23.65
2026-08-10,3,22.37,23.1
2026-08-10,4,21.95,21.81
2026-08-10,5,22.32,21.58
2026-08-10,6,24.07,22.6
2026-08-10,7,24.2,23.5
2026-08-10,8,22.62,21.26
2026-08-10,9,18.64,17.43
2026-08-10,10,17.41,18.69
2026-08-10,11,17.55,20.2
2026-08-10,12,18.79,22.16
2024-01-26,1,12.93,10.39
2024-01-26,2,13.29,18.08
2024-01-26,3,12.7,19.11
2024-01-26,4,14.37,19.64
2024-01-26,5,15.25,20.01
2024-01-26,6,21.15,21.57
2024-01-26,7,30.13,31.91
2024-01-26,8,37.56,36.62
2024-01-26,9,22.09,56.94
2024-01-26,10,19.98,39.15
2024-01-26,11,19.55,27.81
2024-01-26,12,18.63,26.45
2024-01-26,13,17.91,23.37
2024-01-26,14,17.29,22.71
2024-01-26,15,17.36,20.14
2024-01-26,16,17.6,21.11
2024-01-26,17,19.03,22.31
2024-01-26,18,35.17,35.17
2024-01-26,19,31.42,42.42
2024-01-26,20,25.89,30.06
2024-01-26,21,26.28,26.86
2024-01-26,22,23.33,21.44
2024-01-26,23,21.54,22.03
2024-01-26,24,18.46,22.17
2024-01-27,1,17.77,20.86
2024-01-27,2,15.2,20.29
2024-01-27,3,10.66,16.32
2024-01-27,4,4.02,16.68
2024-01-27,5,-26.94,18.89
2024-01-27,6,-32.29,2.93
2024-01-27,7,-34.71,-43.27
2024-01-27,8,-38.93,-48.19
2024-01-27,9,-37.11,-32.29
2024-01-27,10,-32.02,-33.7
2024-01-27,11,-27.24,-33.47
2024-01-27,12,-26.84,-33.49
2024-01-27,13,-29.61,-33.47
2024-01-27,14,-27.85,-34.32
2024-01-27,15,-27.89,-34.69
2024-01-27,16,-24.7,-34.76
2024-01-27,17,-17,-34.76
2024-01-27,18,9.7,-14.5
2024-01-27,19,20.5,2.52
2024-01-27,20,23.13,18.42
2024-01-27,21,28.07,50.47
2024-01-27,22,27.68,40.85
2024-01-27,23,23.09,41.56
2024-01-27,24,21.86,39.31
2024-01-28,1,23.6,38.28
2024-01-28,2,20.11,37.27
2024-01-28,3,19.21,35.99
2024-01-28,4,17.38,33.38
2024-01-28,5,20.65,31.4
2024-01-28,6,23.95,29.7
2024-01-28,7,38.33,27.67
2024-01-28,8,41.71,38.42
2024-01-28,9,29.81,16.88
2024-01-28,10,19.21,11.47
2024-01-28,11,16.29,11.19
2024-01-28,12,18.47,11.17
2024-01-28,13,16.19,8.09
2024-01-28,14,15.22,2.99
2024-01-28,15,14.78,0.31
2024-01-28,16,15.18,0.01
2024-01-28,17,17.18,5.88
2024-01-28,18,38.75,28.2
2024-01-28,19,41.82,25.61
2024-01-28,20,36.91,23.2
2024-01-28,21,31.7,21.47
2024-01-28,22,29.08,20.46
2024-01-28,23,22.33,18.35
2024-01-28,24,18.41,14.9
2024-02-21,14,-0.57,-1.21
2024-02-21,15,-0.76,-2.17
2024-02-21,16,-0.23,-2.15
2024-02-21,17,0.86,-0.51
2024-02-21,18,-5.23,11.35
2024-02-21,19,-3.17,18.57
2024-02-21,20,-5.9,17.26
2024-02-21,21,-9.81,13.04
2024-02-21,22,-20,9.45
2024-02-21,23,-14.26,-0.14
2024-02-21,24,-14.2,-3.47
2024-02-22,1,-15.35,6.36
2024-02-22,2,-18.16,7.27
2024-02-22,3,-18.34,20.75
2024-02-22,4,-16.76,14.34
