"Fecha","Hora","DAM","RTM"
2026-08-10,1,26.15,27.85
2026-08-10,2,24.22,23.62
2026-08-10,3,22.63,23.03
2026-08-10,4,22.32,21.81
2026-08-10,5,22.59,21.58
2026-08-10,6,24.13,22.6
2026-08-10,7,24.49,23.5
2026-08-10,8,22.95,21.26
2026-08-10,9,19.11,17.43
2026-08-10,10,17.44,18.72
2026-08-10,11,17.26,20.26
2026-08-10,12,18.14,22.16
2024-01-26,1,14.14,18.82
2024-01-26,2,14.17,8.72
2024-01-26,3,15.21,17.47
2024-01-26,4,15.08,-3.06
2024-01-26,5,14.59,11.44
2024-01-26,6,15.78,20.06
2024-01-26,7,27.26,31.27
2024-01-26,8,32.55,36.73
2024-01-26,9,18.42,57.13
2024-01-26,10,19.96,39.15
2024-01-26,11,19.55,27.8
2024-01-26,12,18.62,26.45
2024-01-26,13,17.9,23.37
2024-01-26,14,17.31,22.79
2024-01-26,15,17.36,20.39
2024-01-26,16,17.61,21.23
2024-01-26,17,19.01,22.4
2024-01-26,18,35.04,32.6
2024-01-26,19,31.18,40.38
2024-01-26,20,27,30.02
2024-01-26,21,28.07,26.86
2024-01-26,22,28.56,21.44
2024-01-26,23,27.34,22.03
2024-01-26,24,18.37,22.17
2024-01-27,1,17.72,20.86
2024-01-27,2,15.13,20.29
2024-01-27,3,11.88,16.3
2024-01-27,4,9.73,16.63
2024-01-27,5,-2.64,18.65
2024-01-27,6,-3.09,18.36
2024-01-27,7,-11.27,0.74
2024-01-27,8,-13.73,-9.46
2024-01-27,9,-2.33,-14.86
2024-01-27,10,-6.15,-18.81
2024-01-27,11,-3.7,-22.07
2024-01-27,12,-1.51,-16.47
2024-01-27,13,-4.88,-11.63
2024-01-27,14,-4.84,-9.95
2024-01-27,15,-3.45,-1.35
2024-01-27,16,-4.76,-0.27
2024-01-27,17,-0.74,-0.01
2024-01-27,18,17.75,21.53
2024-01-27,19,25.61,14.85
2024-01-27,20,25.11,25.58
2024-01-27,21,28.4,49.7
2024-01-27,22,26.27,18.22
2024-01-27,23,23.17,28.47
2024-01-27,24,19.26,37.19
2024-01-28,1,20.9,35.88
2024-01-28,2,16.79,34.55
2024-01-28,3,17.16,32.41
2024-01-28,4,15.45,29.97
2024-01-28,5,16.26,28.58
2024-01-28,6,17.41,27.51
2024-01-28,7,14.65,27.4
2024-01-28,8,27.07,38.39
2024-01-28,9,22.38,16.88
2024-01-28,10,18.87,11.47
2024-01-28,11,14.4,11.19
2024-01-28,12,8.64,11.17
2024-01-28,13,7.69,8.09
2024-01-28,14,10.89,2.99
2024-01-28,15,12.76,-7.3
2024-01-28,16,12.5,-13.9
2024-01-28,17,12.84,-6.62
2024-01-28,18,34.4,14.55
2024-01-28,19,24.51,13.8
2024-01-28,20,33.99,13.81
2024-01-28,21,31.71,15.62
2024-01-28,22,29.11,20.46
2024-01-28,23,22.38,18.35
2024-01-28,24,17.66,14.9
2024-02-21,14,-12.3,-2.55
2024-02-21,15,-2.14,-3.98
2024-02-21,16,0.49,-6.09
2024-02-21,17,1.4,-2.72
2024-02-21,18,3.45,3.53
2024-02-21,19,20.95,22.14
2024-02-21,20,2.08,26.65
2024-02-21,21,0.28,20.25
2024-02-21,22,-1.8,13.23
2024-02-21,23,-7.28,-5.59
2024-02-21,24,-12.08,-10.11
2024-02-22,1,-20.55,0.92
2024-02-22,2,-22.32,3.23
